games_played,spy_win_ratio
463,0.96328
464,0.96336
465,0.96344
466,0.96352
467,0.9636
468,0.96368
469,0.96375
470,0.96383
471,0.96391
472,0.96398
473,0.96406
474,0.96414
475,0.96421
476,0.96429
477,0.96436
478,0.96444
479,0.96451
480,0.96458
481,0.96466
482,0.96473
483,0.9648
484,0.96488
485,0.96495
486,0.96502
487,0.96509
488,0.96516
489,0.96524
490,0.96531
491,0.96538
492,0.96545
493,0.96552
494,0.96559
495,0.96566
496,0.96573
497,0.96579
498,0.96586
499,0.96593
500,0.964
501,0.96407
502,0.96414
503,0.96421
504,0.96429
505,0.96436
506,0.96443
507,0.9645
508,0.96457
509,0.96464
510,0.96275
511,0.96282
512,0.96289
513,0.96296
514,0.96304
515,0.96311
516,0.96318
517,0.96325
518,0.96332
519,0.96339
520,0.96346
521,0.96353
522,0.9636
523,0.96367
524,0.96374
525,0.96381
526,0.96388
527,0.96395
528,0.96402
529,0.96408
530,0.96415
531,0.96422
532,0.96429
533,0.96435
534,0.96442
535,0.96449
536,0.96455
537,0.96462
538,0.96468
539,0.96475
540,0.96481
541,0.96488
542,0.96494
543,0.96501
544,0.96507
545,0.96514
546,0.9652
547,0.96527
548,0.96533
549,0.96539
550,0.96364
551,0.9637
552,0.96377
553,0.96383
554,0.9639
555,0.96396
556,0.96403
557,0.96409
558,0.96416
559,0.96422
560,0.96429
561,0.96435
562,0.96263
563,0.9627
564,0.96277
565,0.96283
566,0.9629
567,0.96296
568,0.96303
569,0.96309
570,0.96316
571,0.96322
572,0.96329
573,0.96335
574,0.96341
575,0.96348
576,0.96354
577,0.9636
578,0.96367
579,0.96373
580,0.96379
581,0.96386
582,0.96392
583,0.96398
584,0.96404
585,0.9641
586,0.96416
587,0.96422
588,0.96429
589,0.96435
590,0.96441
591,0.96447
592,0.96453
593,0.96459
594,0.96465
595,0.96471
596,0.96477
597,0.96482
598,0.96488
599,0.96494
600,0.965
601,0.96506
602,0.96512
603,0.96517
604,0.96523
605,0.96529
606,0.96535
607,0.9654
608,0.96546
609,0.96552
610,0.96557
611,0.96563
612,0.96569
613,0.96574
614,0.9658
615,0.96585
616,0.96591
617,0.96596
618,0.96602
619,0.96607
620,0.96613
621,0.96618
622,0.96624
623,0.96629
624,0.96635
625,0.9664
626,0.96645
627,0.96651
628,0.96656
629,0.96661
630,0.96667
631,0.96672
632,0.96677
633,0.96682
634,0.96688
635,0.96693
636,0.96698
637,0.96703
638,0.96708
639,0.96714
640,0.96719
641,0.96724
642,0.96729
643,0.96579
644,0.96584
645,0.96589
646,0.96594
647,0.966
648,0.96605
649,0.9661
650,0.96615
651,0.96621
652,0.96626
653,0.96631
654,0.96636
655,0.96641
656,0.96646
657,0.96651
658,0.96657
659,0.96662
660,0.96667
661,0.96672
662,0.96677
663,0.96682
664,0.96687
665,0.96692
666,0.96697
667,0.96702
668,0.96707
669,0.96712
670,0.96716
671,0.96721
672,0.96726
673,0.96731
674,0.96736
675,0.96741
676,0.96746
677,0.9675
678,0.96755
679,0.9676
680,0.96765
681,0.96769
682,0.96774
683,0.96779
684,0.96637
685,0.96642
686,0.96647
687,0.96652
688,0.96657
689,0.96662
690,0.96667
691,0.96671
692,0.96676
693,0.96681
694,0.96542
695,0.96547
696,0.96552
697,0.96557
698,0.96562
699,0.96567
700,0.96571
701,0.96576
702,0.96581
703,0.96586
704,0.96591
705,0.96596
706,0.96601
707,0.96605
708,0.9661
709,0.96615
710,0.9662
711,0.96624
712,0.96629
713,0.96634
714,0.96639
715,0.96643
716,0.96648
717,0.96653
718,0.96657
719,0.96662
720,0.96667
721,0.96671
722,0.96676
723,0.9668
724,0.96685
725,0.9669
726,0.96694
727,0.96699
728,0.96703
729,0.96708
730,0.96712
731,0.96717
732,0.96721
733,0.96726
734,0.9673
735,0.96735
736,0.96739
737,0.96744
738,0.96612
739,0.96617
740,0.96622
741,0.96626
742,0.96631
743,0.96635
744,0.9664
745,0.96644
746,0.96649
747,0.96653
748,0.96658
749,0.96662
750,0.96533
751,0.96538
752,0.9641
753,0.96414
754,0.96419
755,0.96424
756,0.96429
757,0.96433
758,0.96438
759,0.96443
760,0.96447
761,0.96452
762,0.96457
763,0.96461
764,0.96466
765,0.96471
766,0.96475
767,0.9648
768,0.96484
769,0.96489
770,0.96494
771,0.96498
772,0.96503
773,0.96507
774,0.96512
775,0.96516
776,0.96521
777,0.96525
778,0.9653
779,0.96534
780,0.96538
781,0.96543
782,0.96547
783,0.96552
784,0.96556
785,0.96561
786,0.96565
787,0.96569
788,0.96574
789,0.96578
790,0.96582
791,0.96587
792,0.96591
793,0.96595
794,0.96599
795,0.96604
796,0.96608
797,0.96612
798,0.96617
799,0.96621
800,0.96625
801,0.96629
802,0.96633
803,0.96638
804,0.96642
805,0.96646
806,0.9665
807,0.96654
808,0.96658
809,0.96663
810,0.96667
811,0.96671
812,0.96675
813,0.96679
814,0.96683
815,0.96687
816,0.96691
817,0.96695
818,0.96699
819,0.96703
820,0.96707
821,0.96711
822,0.96715
823,0.96719
824,0.96723
825,0.96727
826,0.96731
827,0.96735
828,0.96739
829,0.96743
830,0.96747
831,0.96751
832,0.96755
833,0.96759
834,0.96763
835,0.96766
836,0.9677
837,0.96774
838,0.96778
839,0.96782
840,0.96786
841,0.9679
842,0.96793
843,0.96797
844,0.96801
845,0.96805
846,0.96809
847,0.96812
848,0.96816
849,0.9682
850,0.96824
851,0.96827
852,0.96831
853,0.96835
854,0.96838
855,0.96842
856,0.96846
857,0.96849
858,0.96853
859,0.96857
860,0.9686
861,0.96864
862,0.96868
863,0.96871
864,0.96875
865,0.96879
866,0.96882
867,0.96886
868,0.96889
869,0.96893
870,0.96897
871,0.969
872,0.96904
873,0.96907
874,0.96911
875,0.96914
876,0.96918
877,0.96921
878,0.96925
879,0.96928
880,0.96932
881,0.96935
882,0.96939
883,0.96942
884,0.96946
885,0.96949
886,0.96953
887,0.96956
888,0.96959
889,0.96963
890,0.96966
891,0.9697
892,0.96973
893,0.96976
894,0.9698
895,0.96983
896,0.96987
897,0.9699
898,0.96993
899,0.96997
900,0.97
901,0.97003
902,0.97007
903,0.9701
904,0.97013
905,0.97017
906,0.9702
907,0.97023
908,0.97026
909,0.9703
910,0.97033
911,0.96926
912,0.9693
913,0.96933
914,0.96937
915,0.9694
916,0.96943
917,0.96947
918,0.9695
919,0.96953
920,0.96957
921,0.9696
922,0.96963
923,0.96966
924,0.9697
925,0.96973
926,0.96976
927,0.9698
928,0.96983
929,0.96986
930,0.96989
931,0.96992
932,0.96996
933,0.96999
934,0.97002
935,0.96898
936,0.96902
937,0.96905
938,0.96908
939,0.96912
940,0.96915
941,0.96812
942,0.96815
943,0.96819
944,0.96822
945,0.96825
946,0.96829
947,0.96832
948,0.96835
949,0.96839
950,0.96842
951,0.96845
952,0.96849
953,0.96852
954,0.96855
955,0.96859
956,0.96862
957,0.96865
958,0.96868
959,0.96872
960,0.96875
961,0.96878
962,0.96881
963,0.96885
964,0.96888
965,0.96891
966,0.96894
967,0.96898
968,0.96901
969,0.96904
970,0.96907
971,0.96807
972,0.96811
973,0.96814
974,0.96817
975,0.96821
976,0.96824
977,0.96827
978,0.9683
979,0.96834
980,0.96837
981,0.9684
982,0.96843
983,0.96846
984,0.9685
985,0.96853
986,0.96856
987,0.96859
988,0.96862
989,0.96866
990,0.96869
991,0.96872
992,0.96875
993,0.96878
994,0.96881
995,0.96884
996,0.96888
997,0.96891
998,0.96894
999,0.96897
1000,0.969
1001,0.96903
1002,0.96906
1003,0.96909
1004,0.96912
1005,0.96915
1006,0.96918
1007,0.96922
1008,0.96925
1009,0.96928
1010,0.96931
1011,0.96934
1012,0.96937
1013,0.9694
1014,0.96943
1015,0.96946
1016,0.96949
1017,0.96952
1018,0.96955
1019,0.96958
1020,0.96961
1021,0.96964
1022,0.96967
1023,0.9697
1024,0.96973
1025,0.96976
1026,0.96979
1027,0.96981
1028,0.96984
1029,0.96987
1030,0.9699
1031,0.96993
1032,0.96899
1033,0.96902
1034,0.96905
1035,0.96908
1036,0.96911
1037,0.96914
1038,0.96917
1039,0.9692
1040,0.96827
1041,0.9683
1042,0.96833
1043,0.96836
1044,0.96839
1045,0.96842
1046,0.96845
1047,0.96848
1048,0.96851
1049,0.96854
1050,0.96857
1051,0.9686
1052,0.96863
1053,0.96866
1054,0.96869
1055,0.96872
1056,0.96875
1057,0.96878
1058,0.96881
1059,0.96884
1060,0.96887
1061,0.9689
1062,0.96798
1063,0.96802
1064,0.96805
1065,0.96808
1066,0.96811
1067,0.96813
1068,0.96816
1069,0.96819
1070,0.96822
1071,0.96825
1072,0.96828
1073,0.96831
1074,0.96834
1075,0.96837
1076,0.9684
1077,0.96843
1078,0.96846
1079,0.96849
1080,0.96852
1081,0.96855
1082,0.96858
1083,0.96861
1084,0.96863
1085,0.96866
1086,0.96777
1087,0.9678
1088,0.96783
1089,0.96786
1090,0.96789
1091,0.96792
1092,0.96795
1093,0.96798
1094,0.96801
1095,0.96804
1096,0.96807
1097,0.96809
1098,0.96812
1099,0.96815
1100,0.96818
1101,0.9673
1102,0.96733
1103,0.96736
1104,0.96739
1105,0.96742
1106,0.96745
1107,0.96748
1108,0.96751
1109,0.96754
1110,0.96757
1111,0.9676
1112,0.96763
1113,0.96765
1114,0.96768
1115,0.96771
1116,0.96774
1117,0.96777
1118,0.9678
1119,0.96783
1120,0.96786
1121,0.96789
1122,0.96791
1123,0.96794
1124,0.96797
1125,0.968
1126,0.96803
1127,0.96806
1128,0.96809
1129,0.96811
1130,0.96814
1131,0.96817
1132,0.9682
1133,0.96823
1134,0.96825
1135,0.96828
1136,0.96831
1137,0.96834
1138,0.96837
1139,0.96752
1140,0.96754
1141,0.96757
1142,0.9676
1143,0.96763
1144,0.96766
1145,0.96769
1146,0.96771
1147,0.96774
1148,0.96777
1149,0.9678
1150,0.96783
1151,0.96785
1152,0.96788
1153,0.96791
1154,0.96794
1155,0.96797
1156,0.96799
1157,0.96716
1158,0.96718
1159,0.96721
1160,0.96724
1161,0.96727
1162,0.9673
1163,0.96733
1164,0.96735
1165,0.96738
1166,0.96741
1167,0.96744
1168,0.96661
1169,0.96664
1170,0.96667
1171,0.9667
1172,0.96672
1173,0.96675
1174,0.96678
1175,0.96681
1176,0.96684
1177,0.96686
1178,0.96689
1179,0.96692
1180,0.96695
1181,0.96698
1182,0.96701
1183,0.96703
1184,0.96706
1185,0.96709
1186,0.96712
1187,0.96714
1188,0.96717
1189,0.9672
1190,0.96723
1191,0.96725
1192,0.96728
1193,0.96731
1194,0.96734
1195,0.96736
1196,0.96739
1197,0.96742
1198,0.96661
1199,0.96664
1200,0.96667
1201,0.96669
1202,0.96672
1203,0.96675
1204,0.96678
1205,0.9668
1206,0.96683
1207,0.96603
1208,0.96606
1209,0.96609
1210,0.96612
1211,0.96614
1212,0.96617
1213,0.9662
1214,0.96623
1215,0.96626
1216,0.96628
1217,0.96631
1218,0.96634
1219,0.96637
1220,0.96639
1221,0.96642
1222,0.96645
1223,0.96648
1224,0.9665
1225,0.96653
1226,0.96656
1227,0.96659
1228,0.96661
1229,0.96664
