country,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Confidence in national government
Ireland,7.060155392,11.06648731,0.943481982,71.70978546,0.905341148,0.206801742,0.603799641
Israel,7.331036091,10.40613174,0.916440845,71.86508179,0.768076301,0.137158513,0.389368147
Italy,6.198870182,10.4724741,0.919791222,74.13479614,0.632843256,-0.043380704,0.230196297
Ivory Coast,5.037734985,8.180943489,0.661375344,46.98994064,0.732097924,-0.095353842,0.516654313
Jamaica,5.889759064,9.025864601,0.91302985,65.81879425,0.860676348,-0.130832732,0.348201752
Japan,5.910676479,10.56816864,0.881961286,75.31729126,0.849396586,-0.223296791,0.412489951
Jordan,4.808082581,9.025333405,0.814664543,64.4178772,0.766262472,-0.151522875,
Kazakhstan,5.882351398,10.0718708,0.914093196,64.19999695,0.745243967,-0.049178492,0.755705774
Kenya,4.475654125,8.01025486,0.714604318,58.68983841,0.853394389,0.250179261,0.637862563
Kosovo,6.149199963,,0.792087257,62.39247894,0.857676744,,0.298196137
Kuwait,6.093905449,11.11179256,0.853491306,65.37895966,0.884181619,-0.048504289,
Kyrgyzstan,5.629536629,8.11204052,0.882586658,62.89964676,0.859389782,0.166667372,0.561672747
Laos,4.623140812,8.708567619,0.70733577,57.8695755,0.891000748,0.076482594,0.839935005
Latvia,5.977817535,10.1330328,0.895098746,65.10926056,0.699520111,-0.163831443,0.264000505
Lebanon,5.153989792,9.491579056,0.776583016,68.8638916,0.604554176,-0.075028144,0.217718095
Liberia,4.424490929,6.629414082,0.684866846,52.78684998,0.733389914,0.04057676,0.554991543
Libya,5.646852493,,0.822758794,61.48470688,0.778695881,,
Lithuania,6.272940636,10.28265762,0.926316619,67.04169464,0.749307334,-0.182276621,0.32124728
Luxembourg,7.061380863,11.46523094,0.905435503,72.2013092,0.90282172,0.029771445,0.73892206
Macedonia,5.233866692,9.50363636,0.79995513,65.8757782,0.752106607,-0.062728427,0.442916453
Madagascar,4.078620434,7.249253273,0.626331985,56.99448395,0.570347905,-0.025507912,0.541916132
Malawi,3.416862965,7.00270319,0.555422723,54.23464203,0.847920775,0.021560058,0.620332539
Mali,4.741850376,7.608559132,0.741359413,49.17869949,0.753213346,-0.064547285,0.504820108
Malta,6.675665855,10.50269985,0.937331796,71.82951355,0.923642933,0.241762459,0.75200516
Mauritania,4.678159714,8.187707901,0.77922523,53.33533859,0.527446806,-0.134765625,0.292109728
Mauritius,6.174117565,9.914654732,0.910142243,65.5891571,0.912307501,0.073929414,0.614670753
Mexico,6.410299301,9.741969109,0.799839377,68.09822845,0.861405134,-0.206639215,0.25695315
Moldova,5.325530529,8.545788765,0.83076793,63.70124435,0.552825212,-0.003178872,0.132729635
Mongolia,5.333850384,9.318548203,0.924250782,62.31261063,0.674627423,0.106451347,0.275058359
Montenegro,5.614798546,9.694497108,0.881199837,67.14218903,0.625906289,-0.084890783,0.351549894
Morocco,5.312482834,8.915043831,0.641193092,65.33885956,0.814258039,-0.227919385,
Mozambique,4.279863358,7.046577454,0.678463697,49.9577446,0.822670519,-0.021502597,0.759234369
Myanmar,4.154341698,8.634504318,0.795183837,57.64122009,0.886011839,0.62870574,0.82417655
Namibia,4.441306114,9.203362465,0.82833904,55.49542618,0.810401857,-0.20176585,0.745853603
Nepal,4.736692429,7.801309109,0.816383302,61.26595688,0.84514761,0.146511137,0.559578538
Netherlands,7.458965302,10.79181385,0.936501324,71.61999512,0.920319736,0.237440467,0.669553638
New Zealand,7.32718277,10.47576237,0.95492065,71.61430359,0.942279458,0.28505671,0.609015465
Nicaragua,6.476356506,8.575318336,0.83804369,66.25178528,0.922162771,0.010326705,0.590425193
Niger,4.615673542,6.831231594,0.582109571,51.32594299,0.68355757,-0.012236271,0.601117253
Nigeria,5.321928024,8.58562088,0.733468533,45.8731575,0.825905561,0.113301486,0.558790743
Norway,7.578744888,11.08178902,0.950127661,71.086586,0.953016818,0.210104033,0.717159748
Pakistan,5.830870628,8.519006729,0.690263569,57.46299744,0.712657094,0.030328112,0.557435155
Palestinian Territories,4.62813282,,0.824345112,63.07249832,0.631611288,,0.414400935
Panama,6.567658901,10.00271416,0.911904812,68.04541016,0.899573505,-0.164080471,0.390996099
Peru,5.710936546,9.413349152,0.830123365,65.40724182,0.826552153,-0.166747421,0.254595339
Philippines,5.594270229,8.938967705,0.851028562,60.25149155,0.925703108,-0.147851661,0.83773005
Poland,6.201268196,10.21113968,0.881854117,69.09680176,0.830842614,-0.133134007,0.502480447
Portugal,5.711499214,10.23670864,0.899984837,72.15874481,0.905065656,-0.182598397,0.501088142
Romania,6.089904785,10.02889156,0.811240137,66.85708618,0.838586688,-0.164420739,0.298341334
Russia,5.578742981,10.10368347,0.896151304,62.97878265,0.73087424,-0.158567786,0.556597233
Saudi Arabia,6.294282436,10.81198788,0.840086281,64.08374023,0.814142168,-0.156905413,
Senegal,4.683024883,7.811985493,0.743759334,57.98087692,0.686937034,-0.029066099,0.61072278
Serbia,5.122031212,9.561537743,0.883770406,65.68487549,0.684846342,-0.081415586,0.511197984
Sierra Leone,4.089562416,7.253018379,0.652287126,44.38652802,0.710613549,0.08922568,0.73751694
Singapore,6.378437996,11.31704998,0.897349894,75.81240082,0.926127851,0.120411552,0.92699796
Slovakia,6.365509033,10.31394196,0.913386643,68.77391052,0.714224696,-0.072076842,0.34168008
Slovenia,6.166837692,10.35351658,0.928187847,70.94329071,0.920862675,-0.033475116,0.239779726
South Africa,4.513655186,9.405202866,0.870313287,55.22930908,0.787427902,-0.139256224,0.423274219
South Korea,5.873887062,10.48973465,0.806929946,74.04169464,0.538113713,0.003354594,0.358582199
South Sudan,2.816622496,,0.556822658,50.02017212,0.456011087,,0.461550504
Spain,6.230173111,10.44522285,0.903158188,74.49821472,0.755560756,-0.042156253,0.269585967
Sri Lanka,4.330945492,9.377954483,0.822770596,65.29253387,0.827077389,0.084577233,0.517589927
Sweden,7.286804676,10.77040577,0.914016783,73.00654602,0.934582114,0.155486837,0.559461951
Switzerland,7.473593235,10.95554829,0.949661374,73.17375946,0.924996912,0.167874664,0.819706738
Taiwan Province of China,6.359450817,,0.891119123,71.20999908,0.75965476,,0.322822392
Tajikistan,5.829234123,7.956589699,0.662693322,62.97124863,0.832002461,0.124936186,0.92979306
Tanzania,3.347121239,7.896313667,0.705010295,56.66548538,0.800495505,0.106598906,0.913339019
Thailand,5.938895226,9.688437462,0.877268732,66.41879272,0.922896802,0.202452391,0.605078816
Togo,4.360805035,7.251669884,0.507805228,52.25727463,0.716694415,-0.037704486,0.48495236
Trinidad and Tobago,6.191859722,10.32386494,0.916029036,61.73831177,0.859140456,-0.014604381,0.272540897
Tunisia,4.124342918,9.294288635,0.717381597,65.88056183,0.477956653,-0.233531162,0.250827312
Turkey,5.607262135,10.11937332,0.876467824,65.79473114,0.644434214,-0.246927157,0.586161256
Turkmenistan,5.229148865,9.702640533,0.908454895,60.39269257,0.720399201,0.04033754,
Uganda,4.000516891,7.442951202,0.739956141,51.76347733,0.772344112,0.071719982,0.655109107
Ukraine,4.311067104,8.967859268,0.858324885,63.17335129,0.598875523,0.016125007,0.11093653
United Arab Emirates,7.039419651,11.12180805,0.83552736,68.5815506,0.962016642,0.191113129,
United Kingdom,7.103273392,10.58457565,0.937495291,72.05612946,0.812733293,0.281046003,0.440120846
United States,6.9917593,10.89986897,0.921002865,69.7709198,0.868496716,0.181657359,0.386535019
Uruguay,6.336009979,9.917771339,0.91380167,68.38036346,0.897851646,-0.104762152,0.413032115
Uzbekistan,6.421447754,8.762778282,0.942131102,63.16617966,0.985177755,0.11402946,0.964690447
Vietnam,5.175278664,8.7426548,,66.24576569,,,
Yemen,3.253560066,,0.789555013,54.98103333,0.595190763,,0.247786984
Zambia,3.932777405,8.211669922,0.74375391,53.80378342,0.823168576,0.129821524,0.717004061
Zimbabwe,3.63830018,7.538187027,0.754147053,52.67448425,0.752826095,-0.066004686,0.682646692
